location_street_address,location_specifier,location_postcode,area_living,floor_number
Mechelininkatu 3a,B 72,00100,57.00,6
Maauunintie 27,C 28,01450,58.50,2
Paatsamapolku 2,A 15,01360,59.50,5
Angervotie 4,A 12,00320,86.50,4
Professorintie 2,A 15,00330,43.50,5
Korsipolku 3,B 14,01370,80.00,3
Kuunsäde 6,D 84,02210,86.00,7
Kiiskitie 5,B 16,02170,88.50,2
Liuskekuja 4,B 24,00710,76.00,4
Rakovalkeantie 20,as. G,00670,77.00,1
Metsänpojankuja 7,A 23,02130,25.50,5
Komeetankuja 4,C 15,02210,93.00,2
Henrik Borgströmin tie 5,D 28,00840,44.00,1
Mustankivenaukio 5,A 6,00980,57.00,1
Kuusisaarenpolku 1,as. E,00340,212.50,1
Tilkankatu 14,B 23,00300,56.50,2
Pohjolankatu 43,D 27,00610,68.00,2
